"date","coral","elapsed_time","oxygen"
2022-07-23,"blank",18.5,194.262
2022-07-23,"Coral_1",19,217.81
2022-07-23,"Coral_2",19,248.1871
2022-07-23,"Coral_3",19,229.003
2022-07-23,"Coral_4",19,246.6412
2022-07-23,"Coral_5",19,245.7972
2022-07-23,"blank",19,194.2776
2022-07-23,"Coral_1",19.5,217.9195
2022-07-23,"Coral_2",19.5,248.4528
2022-07-23,"Coral_3",19.5,229.4434
2022-07-23,"Coral_4",19.5,247.0295
2022-07-23,"Coral_5",19.5,246.3031
2022-07-23,"blank",19.5,194.3822
2022-07-23,"Coral_1",20,218.1746
2022-07-23,"Coral_2",20,248.9645
2022-07-23,"Coral_3",20,229.7278
2022-07-23,"Coral_4",20,247.5536
2022-07-23,"Coral_5",20,246.8711
2022-07-23,"blank",20,194.3267
2022-07-23,"Coral_1",20.5,218.2682
2022-07-23,"Coral_2",20.5,249.4659
2022-07-23,"Coral_3",20.5,230.198
2022-07-23,"Coral_4",20.5,247.7253
2022-07-23,"Coral_5",20.5,247.0842
2022-07-23,"blank",20.5,194.1818
2022-07-23,"Coral_1",21,218.681
2022-07-23,"Coral_2",21,250.0155
2022-07-23,"Coral_3",21,230.5425
2022-07-23,"Coral_4",21,248.1143
2022-07-23,"Coral_5",21,247.5396
2022-07-23,"blank",21,194.3247
2022-07-23,"Coral_1",21.5,218.9286
2022-07-23,"Coral_2",21.5,250.4506
2022-07-23,"Coral_3",21.5,231.1025
2022-07-23,"Coral_4",21.5,248.4202
2022-07-23,"Coral_5",21.5,247.7911
2022-07-23,"blank",21.5,194.4147
2022-07-23,"Coral_1",22,219.2478
2022-07-23,"Coral_2",22,250.9361
2022-07-23,"Coral_3",22,231.6337
2022-07-23,"Coral_4",22,248.6202
2022-07-23,"Coral_5",22,248.2227
2022-07-23,"blank",22,194.4151
2022-07-23,"Coral_1",22.5,219.3504
2022-07-23,"Coral_2",22.5,251.2489
2022-07-23,"Coral_3",22.5,231.9947
2022-07-23,"Coral_4",22.5,249.0574
2022-07-23,"Coral_5",22.5,248.5367
2022-07-23,"blank",22.5,194.4276
2022-07-23,"Coral_1",23,219.6821
2022-07-23,"Coral_2",23,251.6105
2022-07-23,"Coral_3",23,232.4602
2022-07-23,"Coral_4",23,249.4798
2022-07-23,"Coral_5",23,248.9549
2022-07-23,"blank",23,194.454
2022-07-23,"Coral_1",23.5,219.9299
2022-07-23,"Coral_2",23.5,252.1081
2022-07-23,"Coral_3",23.5,232.882
2022-07-23,"Coral_4",23.5,249.9896
2022-07-23,"Coral_5",23.5,249.3166
2022-07-23,"blank",23.5,194.6189
2022-07-23,"Coral_1",24,219.9258
2022-07-23,"Coral_2",24,252.2781
2022-07-23,"Coral_3",24,233.2565
2022-07-23,"Coral_4",24,250.1612
2022-07-23,"Coral_5",24,249.5282
2022-07-23,"blank",24,194.5495
2022-07-23,"Coral_1",24.5,219.9993
2022-07-23,"Coral_2",24.5,252.649
2022-07-23,"Coral_3",24.5,233.5239
2022-07-23,"Coral_4",24.5,250.1402
2022-07-23,"Coral_5",24.5,249.5407
2022-07-23,"blank",24.5,194.3531
2022-07-23,"Coral_1",25,219.9723
2022-07-23,"Coral_2",25,253.1053
2022-07-23,"Coral_3",25,233.7018
2022-07-23,"Coral_4",25,250.4206
2022-07-23,"Coral_5",25,249.7959
2022-07-23,"blank",25,194.7695
2022-07-23,"Coral_1",25.5,220.2369
2022-07-23,"Coral_2",25.5,253.3985
2022-07-23,"Coral_3",25.5,234.0394
2022-07-23,"Coral_4",25.5,250.8651
2022-07-23,"Coral_5",25.5,250.1096
2022-07-23,"blank",25.5,194.566
2022-07-23,"Coral_1",26,220.5344
2022-07-23,"Coral_2",26,253.7467
2022-07-23,"Coral_3",26,234.4545
2022-07-23,"Coral_4",26,251.0189
2022-07-23,"Coral_5",26,250.6489
2022-07-23,"blank",26,194.6263
2022-07-23,"Coral_1",26.5,220.7761
2022-07-23,"Coral_2",26.5,254.0962
2022-07-23,"Coral_3",26.5,234.8868
2022-07-23,"Coral_4",26.5,251.3081
2022-07-23,"Coral_5",26.5,250.9032
2022-07-23,"blank",26.5,194.7492
2022-07-23,"Coral_1",27,220.8907
2022-07-23,"Coral_2",27,254.5961
2022-07-23,"Coral_3",27,235.3542
2022-07-23,"Coral_4",27,251.6086
2022-07-23,"Coral_5",27,251.3695
2022-07-23,"blank",27,194.5092
2022-07-23,"Coral_1",27.5,221.2082
2022-07-23,"Coral_2",27.5,254.9244
2022-07-23,"Coral_3",27.5,235.7508
2022-07-23,"Coral_4",27.5,251.8897
2022-07-23,"Coral_5",27.5,251.793
2022-07-23,"blank",27.5,194.5952
2022-07-23,"Coral_1",28,221.3354
2022-07-23,"Coral_2",28,255.1124
2022-07-23,"Coral_3",28,236.1955
2022-07-23,"Coral_4",28,252.3654
2022-07-23,"Coral_5",28,252.3076
2022-07-23,"blank",28,194.8562
